Sample Number,Resolution,Frame Rate (fps),Sample Rate (Hz),Video Start Time (s),Bit Rate (Kbps),Color Space,color_range
ffprobe_output_79.log,1280x720,60,48000,6.275333,1494883,bt709,tv
ffprobe_output_45.log,1280x720,60,48000,6.659333,1285698,bt709,tv
ffprobe_output_51.log,1280x720,60,48000,4.888667,2764545,bt709,tv
ffprobe_output_50.log,1280x720,60,48000,1.767333,3383175,bt709,tv
ffprobe_output_44.log,1280x720,60,48000,5.614,1808708,bt709,tv
ffprobe_output_78.log,1280x720,60,48000,5.614,1838249,bt709,tv
ffprobe_output_9.log,0x0,90000,48000,1.4,125232,unknown,unknown
ffprobe_output_52.log,1280x720,60,48000,6.254,1556656,bt709,tv
ffprobe_output_46.log,1280x720,60,48000,1.554,2711229,bt709,tv
ffprobe_output_47.log,1280x720,60,48000,4.675333,2934086,bt709,tv
ffprobe_output_53.log,1280x720,60,48000,1.554,3459269,bt709,tv
ffprobe_output_8.log,1280x720,60,48000,3.068667,3243819,bt709,tv
ffprobe_output_57.log,1280x720,60,48000,4.760667,2747764,bt709,tv
ffprobe_output_43.log,1280x720,60,48000,5.400667,2493088,bt709,tv
ffprobe_output_80.log,1280x720,60,48000,4.334,3010440,bt709,tv
ffprobe_output_42.log,1280x720,60,48000,6.040667,1606718,bt709,tv
ffprobe_output_56.log,1280x720,60,48000,4.888667,2688712,bt709,tv
ffprobe_output_40.log,1280x720,60,48000,4.632667,2893837,bt709,tv
ffprobe_output_54.log,1280x720,60,48000,5.614,2408180,bt709,tv
ffprobe_output_68.log,1280x720,60,48000,1.554,2789906,bt709,tv
ffprobe_output_69.log,1280x720,60,48000,4.654,2889975,bt709,tv
ffprobe_output_55.log,1280x720,60,48000,5.592667,2449918,bt709,tv
ffprobe_output_41.log,1280x720,60,48000,4.952667,2632723,bt709,tv
ffprobe_output_26.log,1280x720,60,48000,5.102,2610443,bt709,tv
ffprobe_output_32.log,0x0,90000,48000,1.4,145528,unknown,unknown
ffprobe_output_33.log,1280x720,60,48000,5.208667,2586495,bt709,tv
ffprobe_output_27.log,1280x720,60,48000,5.784667,2370876,bt709,tv
ffprobe_output_19.log,1280x720,60,48000,3.943333,2953390,bt709,tv
ffprobe_output_31.log,1280x720,60,48000,5.614,1779317,bt709,tv
ffprobe_output_25.log,1280x720,60,48000,1.746,3861566,bt709,tv
ffprobe_output_24.log,1280x720,60,48000,1.703333,3864645,bt709,tv
ffprobe_output_30.log,1280x720,60,48000,4.675333,2864408,bt709,tv
ffprobe_output_18.log,1280x720,60,48000,4.007333,3069514,bt709,tv
ffprobe_output_34.log,1280x720,60,48000,4.824667,2794168,bt709,tv
ffprobe_output_20.log,1280x720,60,48000,4.952667,2751664,bt709,tv
ffprobe_output_21.log,1280x720,60,48000,6.424667,2168078,bt709,tv
ffprobe_output_35.log,1280x720,60,48000,1.724667,3821112,bt709,tv
ffprobe_output_23.log,1280x720,60,48000,1.724667,3861770,bt709,tv
ffprobe_output_37.log,1280x720,60,48000,5.592667,2474438,bt709,tv
ffprobe_output_36.log,1280x720,60,48000,5.208667,2597542,bt709,tv
ffprobe_output_22.log,1280x720,60,48000,6.744667,1248532,bt709,tv
ffprobe_output_13.log,1280x720,60,48000,2.364667,3243615,bt709,tv
ffprobe_output_12.log,1280x720,60,48000,7.171333,1136854,bt709,tv
ffprobe_output_38.log,1280x720,60,48000,2.556667,3618707,bt709,tv
ffprobe_output_10.log,1280x720,60,48000,3.324667,3384819,bt709,tv
ffprobe_output_11.log,1280x720,60,48000,5.208667,2629636,bt709,tv
ffprobe_output_39.log,1280x720,60,48000,1.575333,2722907,bt709,tv
ffprobe_output_15.log,1280x720,60,48000,3.41,3115343,bt709,tv
ffprobe_output_29.log,1280x720,60,48000,5.016667,2688942,bt709,tv
ffprobe_output_28.log,1280x720,60,48000,7.683333,1001980,bt709,tv
ffprobe_output_14.log,1280x720,60,48000,3.452667,3048975,bt709,tv
ffprobe_output_16.log,1280x720,60,48000,7.043333,1215837,bt709,tv
ffprobe_output_17.log,0x0,90000,48000,1.4,149945,unknown,unknown
ffprobe_output_3.log,1280x720,60,48000,2.258,3310307,bt709,tv
ffprobe_output_58.log,1280x720,60,48000,6.360667,1483438,bt709,tv
ffprobe_output_64.log,1280x720,60,48000,4.760667,2833879,bt709,tv
ffprobe_output_70.log,1280x720,60,48000,5.614,1838100,bt709,tv
ffprobe_output_71.log,1280x720,60,48000,2.258,2518865,bt709,tv
ffprobe_output_65.log,0x0,90000,48000,1.4,144933,unknown,unknown
ffprobe_output_59.log,1280x720,60,48000,1.767333,2746741,bt709,tv
ffprobe_output_2.log,1280x720,60,48000,6.723333,2142229,bt709,tv
ffprobe_output_73.log,1280x720,60,48000,4.739333,2831217,bt709,tv
ffprobe_output_67.log,1280x720,60,48000,4.760667,2844774,bt709,tv
ffprobe_output_66.log,1280x720,60,48000,4.803333,2812245,bt709,tv
ffprobe_output_72.log,0x0,90000,48000,1.4,144479,unknown,unknown
ffprobe_output_1.log,1280x720,60,48000,7.278,1099065,bt709,tv
ffprobe_output_5.log,0x0,90000,48000,1.4,148715,unknown,unknown
ffprobe_output_76.log,1280x720,60,48000,4.419333,2991470,bt709,tv
ffprobe_output_62.log,1280x720,60,48000,1.468667,2802569,bt709,tv
ffprobe_output_63.log,1280x720,60,48000,5.614,1789536,bt709,tv
ffprobe_output_77.log,1280x720,60,48000,1.959333,3390055,bt709,tv
ffprobe_output_4.log,1280x720,60,48000,3.004667,2497531,bt709,tv
ffprobe_output_6.log,1280x720,60,48000,2.620667,3567544,bt709,tv
ffprobe_output_61.log,1280x720,60,48000,1.682,2665341,bt709,tv
ffprobe_output_75.log,1280x720,60,48000,5.614,1844714,bt709,tv
ffprobe_output_49.log,1280x720,60,48000,4.952667,2699599,bt709,tv
ffprobe_output_48.log,1280x720,60,48000,5.272667,2576877,bt709,tv
ffprobe_output_74.log,1280x720,60,48000,4.675333,2878164,bt709,tv
ffprobe_output_60.log,1280x720,60,48000,4.334,3037928,bt709,tv
ffprobe_output_7.log,1280x720,60,48000,2.407333,3250009,bt709,tv
